sundanese:0 "Sundanese"
MON_ideas:0 "Montenegrin Ideas"
mon_idea_1:0 "Legacy Of Diocleia"
mon_idea_2:0 "Metropolitanate of Montenegro"
mon_idea_3:0 "Clan Society"
mon_idea_4:0 "Balkan Gusars"
mon_idea_5:0 "The Call Of The Sea"
mon_idea_6:0 "Tax Reform"
mon_idea_7:0 "Cojstvo I Junastvo"
RMN_ideas:0 "Romanian Ideas"
flexible_recruiting:0 "Flexible Recruiting"
skilled_commanders:0 "Skilled Commanders"
scorch_the_land_and_poison_the_wells:0 "Scorch the Lands and Poison the Wells"
latin_island:0 "Latin Island"
rom_peasant_soldiers:0 "Peasant Soldiers"
phanariote_traders:0 "Phanariote Traders"
phanariote_taxes:0 "Phanariote Taxes"
ATH_ideas:0 "Athenian Ideas"
dominus_athenarum:0 "Dominus Athenarum"
athenian_openeness:0 "Athenian Openness"
athenian_pragmatism:0 "Athenian Pragmatism"
revive_the_latin_greece:0 "Revive the Latin Greece"
latin_contracts:0 "Latin Contracts"
archbishop_of_athens:0 "Preserve Archbishop of Athens"
athenian_army_reform:0 "Athenian Army Reform"
GOT_ideas:0 "Gutnish Ideas"
rebuild_visby:0 "Rebuild Visby"
invite_mercenaries_to_visby:0 "Invite Mercenaries to Visby"
expand_visby_dockyard:0 "Expand Visby Dockyard"
rebuild_the_trade:0 "Rebuild the Trade"
gutnish_merchant_adventurers:0 "Gutnish Merchant Adventurers"
gutnish_merchant_navy:0 "Gutnish Merchant Navy"
found_visby_bank:0 "Found Visby Bank"
FIN_ideas:0 "Finnish Ideas"
expand_viborg:0 "Expand Viborg"
the_fourth_estate:0 "The Fourth Estate"
settle_middle_finland:0 "Settle Middle Finland"
found_turun_akatemia:0 "Found Turun Akatemia"
hakkapelitta_fin:0 "The Hakkapeliitta"
the_white_death:0 "The White Death"
anjala_conspiracy:0 "The Anjala Conspiracy"
ALB_ideas:0 "Albanian Ideas"
all_lands_under_skanderbeg:0 "All Lands Under Skanderbeg"
land_of_ambushers:0 "Land of Ambushers"
kingdom_of_albania:0 "Kingdom of Albania"
hit_and_run:0 "Hit and Run"
land_of_eagles:0 "Land of the Eagles"
albanian_tolerance:0 "Albanian Tolerance"
break_the_princes:0 "Break The Power Of Princes"
PLT_ideas:0 "Polotskian Ideas"
heritage_of_the_rus:0 "Heritage of The Rus'"
cultural_center:0 "Cultural Center"
land_of_strongholds:0 "Land of Strongholds"
trade_hub:0 "Trade Hub"
legacy_of_the_werewolf_prince:0 "Legacy of the Werewolf Prince"
diplomatic_initiative:0 "Diplomatic Initiative"
forest_of_europe:0 "Forest of Europe"
PRM_ideas:0 "Permian Ideas"
capital_of_prikamye:0 "Capital of Prikamye"
the_old_traditions:0 "The Old Traditions"
the_great_perm:0 "Great Perm"
warriors_of_taiga:0 "Warriors of the Taiga"
turkic_mercenaries:0 "Turkic Mercenaries"
komi_tolerance:0 "Komi Tolerance"
permian_army_reform:0 "Permian Army Reform"
ASH_ideas:0 "Ashanti Ideas"
ash_idea_1:0 "Elder Council"
ash_idea_2:0 "The Slave Forts"
ash_idea_3:0 "The Akan Coalition"
ash_idea_4:0 "The Golden Stool"
ash_idea_5:0 "Centralized Coalition"
ash_idea_6:0 "Osei Kwadwo's Reforms"
ash_idea_7:0 "National Army"
guajiro_ideas:0 "Arawak Ideas"
guajiro_warrior_culture:0 "Warrior Culture"
guajiro_land_cultivation:0 "Land Cultivation"
orinoco_trade:0 "Orinoco Trade"
tribal_tolerance:0 "Tribal Tolerance"
guajiro_raiders:0 "Arawak Raiders"
guajiro_enemy_of_my_enemy:0 "Enemy Of My Enemy"
guajiro_jungle_warfare:0 "Jungle Warfare"
MPC_ideas:0 "Mapuche Ideas"
mpc_idea_1:0 "Mapuche Pucaras"
mpc_idea_2:0 "Clava Clubs"
mpc_idea_3:0 "Mapuche Tactics"
mpc_idea_4:0 "Mapuche Weaving"
mpc_idea_5:0 "Ngillatun"
mpc_idea_6:0 "Peace Parliaments"
mpc_idea_7:0 "Ruxafe"
HAM_ideas:0 "Hamburger Ideas"
hamburg_republic:0 "Burgher Republic"
walls_of_hamburg:0 "Walls of Hamburg"
first_constitution:0 "First Constitution of Hamburg"
johanneum:0 "School of the Johanneum"
berenberg_bank:0 "Berenberg Bank"
elbe_shipyards:0 "Shipyards of the Elbe"
hanseatic_city:0 "Hanseatic City"
INC_ideas:0 "Incan Ideas"
machu_picchu:0 "Machu Picchu"
mitma:0 "Increased Obligations"
quipu:0 "Quipu"
drafted_hatun_runas:0 "Drafted Hatun Runas"
mita_system:0 "Mit'a System"
llama_michis:0 "Llama Michis"
tambo:0 "Tambo Waystations"
CHM_ideas:0 "Chimu Ideas"
chm_idea_1:0 "Inter-Valley Irrigation"
chm_idea_2:0 "Ciudadelas"
chm_idea_3:0 "Split Inheritance"
chm_idea_4:0 "Watchfulness of the Moon"
chm_idea_5:0 "Artisan Relocations"
chm_idea_6:0 "Specialized Economy"
chm_idea_7:0 "The Mit'a"
MCA_ideas:0 "Muiscan Ideas"
mca_idea_1:0 "Zipa and Zaque"
mca_idea_2:0 "El Dorado"
mca_idea_3:0 "Gueches Wrestling"
mca_idea_4:0 "The Tale of Bochica"
mca_idea_5:0 "Emeralds Barter"
mca_idea_6:0 "Terrace Farming"
mca_idea_7:0 "Consuetudinary Law"
CYA_ideas:0 "Chachapoyan Ideas"
cya_idea_1:0 "Warriors of the Clouds"
cya_idea_2:0 "Legacy of Kuelap"
cya_idea_3:0 "Summit Fortresses"
cya_idea_4:0 "Women Diplomacy"
cya_idea_5:0 "Chachapoyan Endurance"
cya_idea_6:0 "Purunmachus"
cya_idea_7:0 "Cloud Forests"
TEU_ideas:0 "Teutonic Ideas"
teu_idea_1:0 "Reform the Army"
teu_idea_2:0 "Recruit Peasants"
teu_idea_3:0 "Adjust our Infantry Tactics"
teu_idea_4:0 "Assume Religious Authority"
teu_idea_5:0 "Expand the Marches"
teu_idea_6:0 "Promote Prussian Bishops"
teu_idea_7:0 "One State, One Religion"
BUL_ideas:0 "Bulgarian Ideas"
bul_idea_1:0 "Confirm The Bulgarian Boyars"
bul_idea_2:0 "Root Out the Heresies"
bul_idea_3:0 "Unity Before Feuds"
bul_idea_4:0 "Reform The Army"
bul_idea_5:0 "Reform The Bulgarian Church"
bul_idea_6:0 "Military Flexibility"
bul_idea_7:0 "Third Rome"
KIE_ideas:0 "Kievan Ideas"
mother_of_all_cities:0 "Mother of All Cities"
heritage_of_rus:0 "Heritage of the Rus'"
fending_off_the_invaders:0 "Fending Off The Invaders"
chernozem_land:0 "Chernozem"
center_of_orthodox_church:0 "Center Of Orthodox Church"
support_local_traders:0 "Support Local Traders"
centralized_rule:0 "One To Rule Them All "
NAX_ideas:0 "Naxian Ideas"
maritime_state:0 "Maritime State"
naxos_rules_the_waves:0 "Naxos Rules The Waves"
archipelago_of_opportunities:0 "Archipelago Of Opportunities"
legacy_of_crusaders:0 "Legacy Of Crusaders"
archipelago_feudalism:0 "Archipelago Feudalism"
latin_roots:0 "Latin Roots"
naxian_ambitions:0 "Naxian Ambition"
TUA_ideas:0 "Tapuian Ideas"
ge_hunter_gatherers:0 "Hunter Gatherers"
ge_home_of_fisherfolk:0 "Home of the Fisherfolk"
yam_growers:0 "Yam Growers"
ge_mithology:0 "Land of Mythology"
ge_jaguar_warriors:0 "The Way of the Jaguar"
ge_establish_trade:0 "Open Trade Routes"
ge_unite_the_tribes:0 "Unite The Tribes"
POM_ideas:0 "Pomeranian Ideas"
pom_idea_1:0 "Legacy of Pirates"
pom_idea_2:0 "Pomeranian Merchants"
pom_idea_3:0 "Northern Ports"
pom_idea_4:0 "Religious Freedom"
pom_idea_5:0 "Mercenary Contracts"
pom_idea_6:0 "Dominate the Baltic"
pom_idea_7:0 "German Navy"
KAZ_ideas:0 "Kazani Ideas"
kaz_idea_1:0 "Steppe Tolerance"
kaz_idea_2:0 "Tribal Legacy"
kaz_idea_3:0 "Warrior Society"
kaz_idea_4:0 "Legacy of the Great Horde"
kaz_idea_5:0 "Steppe Warfare"
kaz_idea_6:0 "Settle Down"
kaz_idea_7:0 "End Western Domination"
ARM_ideas:0 "Armenian Ideas"
apostolic_church:0 "Apostolic Church"
land_reclamation:0 "Land Reclamation"
border_nation:0 "Border Nation"
melikdom_organization:0 "Melikdom Organization"
sygnakhs:0 "Sygnakhs"
nakharar_titles:0 "Nakharar Titles"
end_of_armenian_diaspora:0 "End of Armenian Diaspora"
WLS_ideas:0 "Welsh Ideas"
cynulliad:0 "Cynulliad"
bardic_literature:0 "Bardic Literature"
cyfraith_hywel:0 "Cyfraith Hywel"
unbennaeth_prydain:0 "Unbennaeth Prydain"
economic_revival:0 "Economic Revival"
prifysgolion_cymru:0 "Prifysgolion Cymru"
welsh_church:0 "Welsh Church"
west_african_ideas:0 "West African Ideas"
west_african_idea_1:0 "Griot Tradition"
west_african_idea_2:0 "Salt Caravans"
west_african_idea_3:0 "Kola Nuts"
west_african_idea_4:0 "Ancestors and Crescent"
west_african_idea_5:0 "Royal Stables"
west_african_idea_6:0 "The Great River"
west_african_idea_7:0 "Maintain Minor Kings"
andean_ideas:0 "Andean Ideas"
andean_idea_1:0 "Talking Knots"
andean_idea_2:0 "Mountain Roads Network"
andean_idea_3:0 "Tears of the Sun"
andean_idea_4:0 "Llamas Farming"
andean_idea_5:0 "Monumental Ornaments"
andean_idea_6:0 "Hidden Cities"
andean_idea_7:0 "Zampano Music"
aymaran_ideas:0 "Aymaran Ideas"
aym_idea_1:0 "Legacy of Tiwanaku"
aym_idea_2:0 "Yatiri Healing"
aym_idea_3:0 "Chu'uqi Production"
aym_idea_4:0 "Cultivate Aymara Dances"
aym_idea_5:0 "The Tinku Rites"
aym_idea_6:0 "Encourage the Chal'lla"
aym_idea_7:0 "Ayni Duties"
tupi_ideas:0 "Tupi Ideas"
patrilinear_society:0 "Agnatic Kinship"
two_tribes_myth:0 "The Two Tribes"
warrior_tribes:0 "It Is A Good Day To Die"
splash_and_burn:0 "Slash And Burn"
cultivate_the_land:0 "Cultivate The Land"
head_hunters:0 "Head Hunters"
wall_builders:0 "Wall Builders"
CUA_ideas:0 "Charruan Ideas"
cua_idea_1:0 "Hunter-Gatherer Ways"
cua_idea_2:0 "Legacy of the Pampas"
cua_idea_3:0 "Bolas Warfare"
cua_idea_4:0 "Horse Adoption"
cua_idea_5:0 "Resist Conquistadors"
cua_idea_6:0 "Garra Charrua"
cua_idea_7:0 "The Last Charruas"
GUA_ideas:0 "Guarani Ideas"
gua_idea_1:0 "Appeasement of the Pomberos"
gua_idea_2:0 "Guarani Pottery"
gua_idea_3:0 "Echoes of Iguazu"
gua_idea_4:0 "Jesuit Conversions"
gua_idea_5:0 "Missions Settlements"
gua_idea_6:0 "Repel the Bandeirantes!"
gua_idea_7:0 "Royal Armaments"
LXA_ideas:0 "Lan Xang Ideas"
lao_ethnic_diversity:0 "Laotian Ethnic Diversity"
lxa_elephant_cavalry:0 "Elephant Cavalry"
court_history_of_lang_xang:0 "Court History Of Lan Xang"
lxa_white_elephant:0 "The White Elephant"
flowering_of_culture:0 "Flowering Of Culture"
merchants_of_vientiane:0 "Merchants of Vientiane"
renaissance_of_lan_xang:0 "Renaissance of Lan Xang"
caucasus_ideas:0 "Caucasian Ideas"
crossroads_of_cultures:0 "Crossroad Of Cultures"
alan_mercenaries:0 "Alan Mercenaries"
caucasus_hit_and_run:0 "Hit and Run"
persian_poetry:0 "Persian Poetry"
highland_khans:0 "Highland Khans"
eastern_influence:0 "Eastern Influence"
caucasus_cavalry_armies:0 "Cavalry Armies"
CIR_ideas:0 "Circassian Ideas"
horsemen_of_the_steppe:0 "Horsemen of the Steppe"
merchants_of_genoa:0 "Merchants Of Genoa"
circassian_grain:0 "Circassian Grain Trade"
franciscan_missionaries:0 "Franciscan Missionaries"
adyghe_beauty:0 "Adyghe Beauty"
steppe_diplomats:0 "Steppe Diplomats"
circassian_religious_flexibility:0 "Religious Flexibility"
KHI_ideas:0 "Khivan Ideas"
horde_legacy:0 "Horde Legacy"
deserts_of_khiva:0 "Deserts of Khiva"
oasis_of_merv:0 "Oasis of Merv"
djuma_mosque:0 "Djuma Mosque"
amu_darya:0 "Amu Darya"
ichan_qala:0 "Ichan Qal'a"
great_powers_diplomacy:0 "Great Power Diplomacy"
BAH_ideas:0 "Bahmani Ideas"
gharbians:0 "Gharbians"
legacy_of_gisu_daraz:0 "Legacy of Gisu Daraz"
dakani_language:0 "Dakani Language"
karimis:0 "Karimis"
takht_e_firoza:0 "Takht-e-Firoza"
bahmani_primogeniture:0 "Bahmani Primogeniture"
madrasa_of_mahmud_gawan:0 "Great Madrasa of the Deccan"
JAJ_ideas:0 "Siddi Ideas"
goma:0 "Goma"
siddi_seamanship:0 "Siddi Seamanship"
fortress_of_janjira:0 "Impregnable Island Fortress"
siddi_diaspora:0 "The Siddi Diaspora"
siddi_diplomacy:0 "Siddi Diplomacy"
siddi_konkani_trade:0 "Konkan Trade"
siddi_expansion_of_navy:0 "Expansion of the Navy"
JNP_ideas:0 "Jaunpuri Ideas"
jnp_purbias:0 "Purbias"
shiraz_e_hind:0 "Shiraz-i Hind"
jnp_sants_and_sufis:0 "Sants and Sufis"
jaunpuri_architecture:0 "Jaunpuri Architecture "
jnp_gangetic_plain:0 "Gangetic Plain"
jnp_hindusthani_classical_music:0 "Hindustani Classical Music"
modernization_of_jaunpuri_army:0 "Modernization of the Army"
jerusalem_ideas:0 "Jerusalem Ideas"
crown_of_thorns:0 "Crown of Thorns"
latin_patriarch:0 "Latin Patriarch"
frontier_state:0 "Frontier State"
land_of_the_heathen:0 "Land of the Heathen"
crusader_aristocracy:0 "Crusader Aristocracy"
crusader_castles:0 "Crusader Castles"
cosmopolitan_nobility:0 "Cosmopolitan Nobility"
KHM_ideas:0 "Khmer Ideas"
preah_ko_preah_keo:0 "Preah Ko Preah Keo"
khm_theravada:0 "Theravada Buddhism"
khm_cham_migration:0 "Cham Migration"
khm_river_trade:0 "River Trade"
khm_european_mercenaries:0 "European Mercenaries"
khm_restore_angkor:0 "Restoration of Angkor"
khm_modern_navy:0 "A Modern Khmer Navy"
ZAZ_ideas:0 "Zaporozhian Ideas"
zaz_fort_builders:0 "Fast Fort Builders"
zaz_hetmanate:0 "Hetmanate"
zaz_steppe_riders:0 "Steppe Riders"
zaz_cossack_hit_and_run:0 "Hit And Run"
zaz_classy_diplomacy:0 "Brutal Diplomacy"
zaz_zaporzhian_tolerance:0 "Steppe Tolerance"
zaz_army_first:0 "Army First"
shan_ideas:0 "Shan Ideas"
shan_fortified_cities:0 "Fortified Cities"
shan_wet_rice:0 "Wet Rice Cultivation"
sao_pha:0 "Sao Pha"
shan_control_of_the_gem_trade:0 "Control of the Gem Trade"
shan_raiders:0 "Raiders"
shan_chronicles:0 "Shan Chronicles"
shan_expansionism:0 "Expansionism"
settling_the_interior:0 "Settling the Interior"
CAN_ideas:0 "Canadian Ideas"
singing_lumberjacks:0 "Singing Lumberjacks"
the_hudson_bay_company:0 "The Hudson Bay Company"
the_maritimes:0 "The Maritimes"
the_quebec_act:0 "The Quebec Act"
legacy_of_the_empire:0 "Legacy of the Empire"
the_forests_of_canada:0 "The Forests of Canada"
QUE_ideas:0 "Québécois Ideas"
coureurs_des_bois:0 "Coureurs des Bois"
fortifications_of_quebec:0 "Fortifications of Quebec"
the_seigneurial_system:0 "The Seigneurial System"
relations_with_natives:0 "Relations with the First Nations People"
college_of_quebec:0 "The College of Quebec"
commissions_for_noble_sons:0 "Commissions for Noble Sons"
jesuit_missions:0 "Jesuit Missions"
MEX_ideas:0 "Mexican Ideas"
rebuilding_mexico:0 "Rebuilding Mexico"
the_republic_of_indians:0 "The Republic of Indians"
peace_by_purchase:0 "Peace by Purchase"
casa_de_las_campanas:0 "Casa de las Campanas"
repartimiento:0 "Repartimiento"
heroes_of_the_revolution:0 "Heroes of the Revolution"
grito_de_delores:0 "Grito de Dolores"
TRA_ideas:0 "Transylvanian Ideas"
unio_trium_nationum:0 "Unio Trium Nationum"
torda_salt_mines:0 "Torda Salt Mines"
transylvanian_saxons:0 "Transylvanian Saxons"
decree_of_torda:0 "Decree of Torda"
patent_of_toleration:0 "Patent of Toleration"
unitarian_zeal:0 "Unitarian Zeal"
anti_habsburg_policies:0 "Anti-Habsburg Policies"
SUK_ideas:0 "Sukhothai Ideas"
birthplace_of_a_culture:0 "Birthplace of a Culture"
akson_thai:0 "Akson Thai"
sawankalok_ware:0 "Sawankalok Ware"
wat_si_sawai:0 "Wat Si Sawai"
father_governs_children:0 "Father Governs Children"
ramkhamhaeng_stele:0 "Ramkhamhaeng Stele "
suk_war_elephants:0 "War Elephants"
chinese_ideas:0 "Chinese Ideas"
keju_examination:0 "The Keju Examination"
scholar_gentry:0 "Scholar Gentry"
order_of_four_occupations:0 "Order of the Four Occupations"
nation_of_rites_and_etiquette:0 "Nation of Rites and Etiquettes"
firearm_training:0 "Firearm Training"
son_of_heaven:0 "Son of Heaven"
middle_kingdom:0 "Middle Kingdom"
nine_garrisons_of_the_great_wall:0 "Nine Garrisons of The Great Wall"
revived_three_grand_divisions:0 "Revive the Three Grand Divisions"
single_whip_law:0 "Single Whip Law"
the_red_cannon:0 "The Red Cannon"
WBG_ideas:0 "Wurzburgian Ideas"
legacy_of_imperial_diets:0 "Legacy of the Imperial Diets"
duke_in_franconia:0 "Duke in Franconia"
franconian_circle:0 "Franconian Circle"
independent_counts:0 "Independent Counts"
cassation_of_monasteries:0 "Cassation of Monasteries"
franconian_wine:0 "Franconian Wine"
baroque_artists:0 "Baroque Artists"
CEY_ideas:0 "Sinhalese Ideas"
gabadagam:0 "Gabadagam"
sinhalese_sandesas:0 "Sinhalese Sandesas"
pearl_of_the_indian_ocean:0 "Pearl of the Indian Ocean"
cey_centre_of_learning:0 "Centre of Learning"
cey_cinnamon:0 "Develop the Cinnamon Trade"
cey_growth_of_new_castes:0 "Growth of New Castes"
sinhalese_guerilla_warfare:0 "Sinhalese Guerrilla Warfare"
CND_ideas:0 "Candarid Ideas"
genoese_connections:0 "Genoese Connections"
candarid_literature:0 "Candarid Literary Reform"
ismail_bey_complex:0 "Ismail Bey Complex"
anatolian_center_of_learning:0 "Anatolian Center for Learning"
candar_corps:0 "Legacy of the Candar Corps"
sinop_shipyard:0 "Sinop Shipyard"
kure_copper_mine:0 "Kure Copper Mine"
BRZ_ideas:0 "Brazilian Ideas"
governorate_general:0 "Governorate General"
research_of_nassau:0 "Research of John of Nassau"
mines_of_minas_gerais:0 "Mines of Minas Gerais"
halting_foreign_incursions:0 "Halting Foreign Incursions"
entradas_and_bandeiras:0 "Entradas and Bandeiras"
inconfidencia_mineira:0 "Inconfidencia Mineira"
old_seat_of_the_empire:0 "Seat of the Empire"
vindhyan_ideas:0 "Vindhyan Ideas"
bundelkhandi_rajput_connections:0 "Rajput Connections"
forts_of_bundelkhand:0 "Forts of the Vindhyas"
bundelkhandi_sacred_land:0 "A Sacred Land"
bundeli_kalam:0 "Bundeli Kalam"
untamed_bundelkhand:0 "Untamed Lands"
bundelkhandi_diamonds:0 "Diamond Mines"
candella_legacy:0 "Candella Legacy"
kurdish_ideas:0 "Kurdish Ideas"
kurdish_warriors:0 "Mountain Warriors"
kurdish_tribes:0 "Kurdish Tribes"
kurdish_diplomacy:0 "Active Diplomacy"
kurdish_mercenaries:0 "Kurdish Mercenaries"
gorani_literature:0 "Gorani Literature"
legacy_of_the_kurdish_dynasties:0 "Legacy of the Kurdish Dynasties"
li_gora_gawiri_kurd_misilman:0 "Li Gora Gawirî Kurd Misilman e"
CAB_ideas:0 "Carib Ideas"
cab_river_trade:0 "River Trade"
cab_poison_warfare:0 "Poisonous Warfare"
cab_resistance_to_the_pailantipo:0 "Resistance towards the Pailanti'po"
cab_rainforests_of_guyana:0 "Rainforests of the Guyana"
cab_carib_seafaring:0 "Carib Seafarers"
cab_religious_syncretism:0 "Religious Syncretism"
cab_integrate_the_garifuna_returners:0 "Integrate the Garifuna"
BEN_ideas:0 "Beninese Ideas"
ben_curb_the_uzama:0 "Curb the Uzama"
ben_isiatua:0 "Isiatua"
ben_appointment_of_the_onotueyevbo:0 "Appointment of the Onotueyevbo"
ben_the_walls_of_benin:0 "The Walls of Benin"
ben_guilds:0 "Benin Guilds"
ben_adoption_of_benin_customs:0 "Adoption of Benin Customs"
ben_regulation_of_trade:0 "Regulation of Trade"
SHL_ideas:0 "Holstein Ideas"
limes_saxoniae:0 "Limes Saxoniae"
between_a_kingdom_and_the_empire:0 "Between a Kingdom and the Empire"
holsteins:0 "'Ewich Tosamende Ungedelt'"
kieler_umschlag:0 "Kieler Umschlag"
reunifications_of_holstein:0 "Reunification of the Holsteiner Lands"
trade_of_two_seas:0 "The Trade of Two Seas"
danish_protest_pigs:0 "Danish Protest Pigs"
BRE_ideas:0 "Bremen Ideas"
lex_saxonum:0 "Lex Saxonum"
memories_of_verden:0 "Memories of Verden"
deep_pockets:0 "Deep Pockets"
free_imperial_city_of_bremen:0 "Free Imperial City of Bremen"
vegesack:0 "Vegesack Harbor"
bremish_walls:0 "Bremish Walls"
foundation_of_bremerhaven:0 "Foundation of Bremerhaven"
HES_ideas:0 "Hessian Ideas"
break_the_hessian_estates:0 "Break the Power of the Estates"
marburg_university:0 "Marburg University"
welcome_reformers:0 "Welcome the Reformers"
let_in_religious_emigrants:0 "Receive Religious Immigrants"
modernization_of_the_hessian_army:0 "Modernization of the Hessian Army"
hessian_mercenaries_idea:0 "Hessian Mercenaries"
hessian_economic_reforms:0 "Economic Reforms"
MUN_ideas:0 "Münster Ideas"
mun_great_procession:0 "Great Procession"
mun_erbmanner:0 "Erbmänner"
mun_founding_of_monestaries:0 "Founding of Monasteries"
mun_cities_of_peace:0 "Cities of Peace"
mun_soldiers:0 "Soldiers from the Imperial Armies"
mun_bommen_berend:0 "Bommen Berend"
mun_support_of_schools:0 "Support the Schools"
NOL_ideas:0 "Northumbrian Ideas"
nol_secure_percy_rule:0 "Secure Percy Rule"
nol_memory_of_hegemony:0 "The Memory of Northumbrian Hegemony"
nol_cradle_of_british_christianity:0 "Cradle of British Christianity"
nol_land_of_castles:0 "A Land of Castles"
nol_lindisfarne_gospels:0 "Lindisfarne Gospels"
nol_literary_and_philosophical_society:0 "The Literary and Philosophical Society"
nol_coals_to_newcastle:0 "Taking Coals to Newcastle"
ARK_ideas:0 "Arakanese Ideas"
ark_mrauk_u_dynasty:0 "Mrauk U Dynasty"
ark_rohingya_immigrants:0 "Rohingya Immigrants"
ark_bengal_bay_trade:0 "Bay of Bengal Trade"
ark_magh_and_ferenghi:0 "Magh and Ferenghi"
ark_buddhist_sultans:0 "Buddhist Sultans"
ark_muslim_advisers:0 "Muslim Advisors"
ark_trade_contracts_ark:0 "Arakanese Trade Contracts"
THU_ideas:0 "Thüringian Ideas"
thu_partition_of_leipizg:0 "The Partition of Leipzig"
thu_erfurt_fortifications:0 "Fortifications of Erfurt"
thu_protector_of_reformers:0 "Protector of Reformers"
thu_university_of_jena:0 "Salana University"
thu_saxon_duchies:0 "The Saxon Duchies"
thu_weimar_clacissicism:0 "Weimar Classicism"
thu_expansive_marriage_policies:0 "Expansive Marriage Policy"
BTI_ideas:0 "Semien Ideas"
bti_legacy_of_queen_judith:0 "Legacy of Queen Judith"
bti_mountain_kingdom:0 "Mountain Kingdom"
bti_kebra_nagast:0 "Kebra Negast"
bti_builders_and_artists:0 "Builders and Artisans"
bti_gideon_dynasty:0 "Gideon Dynasty"
bti_lost_tribe:0 "Lost Tribe of Beta Israel"
bti_haskalah:0 "Haskalah"
LNA_ideas:0 "Lan Na Ideas"
lna_legacy_of_mangrai:0 "Legacy of Mangrai"
lna_million_ice_paddies:0 "A Million Rice Paddies"
lna_waters_of_the_naga:0 "Waters of the Naga"
lna_the_white_elephant:0 "The White Elephant"
lna_red_and_black:0 "Red and Black Vassals"
lna_elephant_charge:0 "Elephant Charge"
lna_dynastic_spread:0 "Dynastic Spread"
PGR_ideas:0 "Pagarruyung Ideas"
pgr_tantric_legacy:0 "Tantric Legacy"
pgr_gold_trade:0 "Gold Trade"
pgr_istano_basa:0 "Istano Basa"
pgr_rajo_tigo_selo:0 "Rajo Tigo Selo"
pgr_high_education:0 "High Education"
pgr_rumah_gadang:0 "Rumah Gadang"
pgr_matrilinear_culture:0 "Matrilineal Culture"
CMI_ideas:0 "Miao Ideas"
cmi_sacrificing_to_the_spirits:0 "Sacrificing to the Spirits"
cmi_dragon_boats:0 "Dragon Boat Festivals"
cmi_unity_of_the_tribes:0 "Unity of the tribes"
cmi_miao_silver:0 "Miao Silver"
cmi_customary_marriage_laws:0 "Customary Marriage Laws"
cmi_mountain_retreats:0 "Mountain Retreats"
cmi_legacy_of_the_miao_rebellions:0 "Legacy of the Miao Rebellions"
CAT_ideas:0 "Catalan Ideas"
cat_consulate_of_the_sea:0 "Consulate of the Sea"
cat_consell_de_cent:0 "Consell de Cent"
cat_catalan_constitutions:0 "Constitution of Catalonia"
cat_fortifying_catalonia:0 "Fortifying Catalonia"
cat_miquelets:0 "Miquelets"
cat_lliures_morts:0 "'Lliures o Morts'"
cat_catalan_forges:0 "Forges of Catalonia"
laotian_ideas:0 "Laotian Ideas"
lao_phra_lak_phra_lam:0 "Phra Lak Phra Lam"
lao_nithan_khun_borom:0 "Nithan Khun Borom"
lao_satsana_phi:0 "Satsana Phi"
lao_elephant_cavalry:0 "Laotian Elephant Cavalry"
lao_southern_silk_road:0 "Southern Silk Road"
lao_hill_warriors:0 "Laotian Hill Warfare"
CHA_ideas:0 "Cham Ideas"
cha_my_son_temples:0 "Memory of the My Son Temples"
cham_seafaring_people:0 "A Seafaring People"
cha_indian_influences:0 "South Indian Connections"
cha_che_man_legacy:0 "Che Man's Legacy"
cha_agarwood:0 "Agarwood"
cha_resisting_foreign_rule:0 "Resisting Foreign Rule"
cha_cham_migrations:0 "Cham Migrations"
BAD_ideas:0 "Baden Ideas"
bad_hot_springs:0 "Hot Springs"
bad_zahringen:0 "Legacy of the House of Zähringen"
bad_small_nation_diplomacy:0 "Active Diplomacy"
bad_cuius_regio_euis_religio:0 "Cuius Regio, Eius Religio"
bad_reuiniting_the_nation:0 "Reuinification of Baden"
bad_expanding_the_nation:0 "Diplomatic Expansion"
bad_grand_duchy:0 "Grand Duchy of Baden"
SDY_ideas:0 "Sadiyan Ideas"
sdy_land_of_glory:0 "Land of Glory"
sdy_crossroad_of_religions:0 "Crossroad of Religions"
sdy_hills_and_jungles:0 "Hills and Jungles"
sdy_temples:0 "Temples of Sadiya"
sdy_dihang:0 "Dihang"
sdy_army_reform:0 "Reform the Sadiya Armies"
sdy_black_tea:0 "Black Tea"
MLB_ideas:0 "Manipur Ideas"
mlb_sanamahism:0 "Sanamahism"
mlb_martial_traditions:0 "Martial Traditions"
mlb_kingdom_of_the_meitei:0 "Kingdom of the Meitei"
mlb_mayek:0 "Mayek"
mlb_unite_the_hill_tribes:0 "Unite the Hill Tribes"
mlb_bengali_influence:0 "Bengali Influence"
mlb_far_reaching_diplomacy:0 "Far-Reaching Diplomacy"
somali_ideas:0 "Somali Ideas"
somali_maritime_heritage:0 "Maritime Heritage"
somali_qalqads:0 "Qalqads"
somali_clans:0 "Somali Clans"
somali_offensive_warfare:0 "Offensive Warfare"
somali_indian_ocean_trade:0 "Indian Ocean Trade"
somali_corsairs_of_the_red_sea:0 "Corsairs of the Red Sea"
somali_perso_arab_influx:0 "Arab and Persian Influx"
PEG_ideas:0 "Pegu Ideas"
peg_riches_of_pegu:0 "Riches of Pegu"
peg_martabans:0 "Martabans"
peg_dhammazedi_pyatton:0 "Dhammazedi Pyatton"
peg_rammanadesa:0 "Ramannadesa"
peg_dynamic_warfare:0 "Dynamic Warfare"
